Pclass,Fare,Name,Cabin,SibSp,Survived,Embarked,Sex,Ticket,Age,PassengerId,Parch
3,9.5,"Sheerlinck, Mr. Jan Baptist",,0,1,S,male,345779,29.0,82,0
1,262.375,"Ryerson, Miss. Susan Parker ""Suzette""",B57 B59 B63 B66,2,1,C,female,PC 17608,21.0,743,2
3,7.8958,"Drazenoic, Mr. Jozef",,0,0,C,male,349241,33.0,131,0
3,7.8542,"Andreasson, Mr. Paul Edvin",,0,0,S,male,347466,20.0,92,0
1,86.5,"Cherry, Miss. Gladys",B77,0,1,S,female,110152,30.0,258,0
2,26.0,"Kantor, Mr. Sinai",,1,0,S,male,244367,34.0,100,0
2,15.75,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",,0,1,S,female,C.A. 33595,40.0,162,0
1,49.5042,"Artagaveytia, Mr. Ramon",,0,0,C,male,PC 17609,71.0,494,0
3,14.4542,"Barbara, Mrs. (Catherine David)",,0,0,C,female,2691,45.0,363,1
3,7.925,"Alhomaki, Mr. Ilmari Rudolf",,0,0,S,male,SOTON/O2 3101287,20.0,841,0
3,8.4333,"Kalvik, Mr. Johannes Halvorsen",,0,0,S,male,8475,21.0,653,0
1,211.3375,"Allen, Miss. Elisabeth Walton",B5,0,1,S,female,24160,29.0,731,0
1,31.0,"Blank, Mr. Henry",A31,0,1,C,male,112277,40.0,210,0
1,25.5875,"Colley, Mr. Edward Pomeroy",E58,0,0,S,male,5727,47.0,663,0
3,15.2458,"Touma, Mrs. Darwis (Hanne Youssef Razi)",,0,1,C,female,2650,29.0,256,2
1,151.55,"Cleaver, Miss. Alice",,0,1,S,female,113781,22.0,709,0
3,8.05,"Moore, Mr. Leonard Charles",,0,0,S,male,A4. 54510,,122,0
3,7.65,"Salkjelsvik, Miss. Anna Kristine",,0,1,S,female,343120,21.0,107,0
3,8.6625,"Oreskovic, Mr. Luka",,0,0,S,male,315094,20.0,726,0
2,10.5,"Mudd, Mr. Thomas Charles",,0,0,S,male,S.O./P.P. 3,16.0,842,0
1,78.85,"Cavendish, Mr. Tyrell William",C46,1,0,S,male,19877,36.0,742,0
3,31.3875,"Asplund, Master. Clarence Gustaf Hugo",,4,0,S,male,347077,9.0,183,2
3,9.5,"Lievens, Mr. Rene Aime",,0,0,S,male,345781,24.0,771,0
3,18.0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",,1,0,S,female,345763,31.0,19,0
3,22.025,"Kink-Heilmann, Miss. Luise Gretchen",,0,1,S,female,315153,4.0,185,2
1,49.5042,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",C90,0,1,C,female,PC 17482,24.0,711,0
3,39.6875,"Panula, Mr. Ernesti Arvid",,4,0,S,male,3101295,16.0,267,1
3,7.7958,"Andersson, Mr. August Edvard (""Wennerstrom"")",,0,1,S,male,350043,27.0,147,0
3,56.4958,"Lam, Mr. Len",,0,0,S,male,1601,,827,0
1,50.0,"Rood, Mr. Hugh Roscoe",A32,0,0,S,male,113767,,186,0
3,7.2292,"Razi, Mr. Raihed",,0,0,C,male,2629,,860,0
2,39.0,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",,1,1,S,female,29750,40.0,671,1
2,39.0,"Becker, Master. Richard F",F4,2,1,S,male,230136,1.0,184,1
3,8.05,"Cook, Mr. Jacob",,0,0,S,male,A/5 3536,43.0,669,0
3,22.3583,"Peter, Miss. Anna",F E69,1,1,C,female,2668,,129,1
